Index,Star Name,Distance,Mass,Radius,Gravity
134,2MASS J04151954âˆ’0935066,18.6,5.696026596e+28,67917608.145,824.1256757641451
135,2MASS J04285096-2253227Â [de],85.0,1.5189404256e+29,77926518.81899999,1669.384557701969
136,2MASS J04351612-1606574,34.0,1.898675532e+29,90080196.066,1561.6306004391138
138,2MASS J04390101-2353083Â [de],29.5,9.1136425536e+28,69347452.527,1264.786349031168
140,2MASS J04455387-3048204Â [de],42.0,1.21515234048e+29,71492219.1,1586.7166344045677
141,2MASS J04510093-3402150Â [de],69.0,1.974623508e+27,5147439775.2,0.004973795867202517
142,2MASS J05002100+0330501Â [de],44.0,1.21515234048e+29,71492219.1,1586.7166344045677
144,2MASS J05160945-0445499Â [de],73.0,8.923775000399998e+28,69347452.527,1238.4366334263516
145,2MASS J0523âˆ’1403,40.0,1.2910993617600001e+29,72207141.291,1652.6678012497337
146,SDSS J053951.99-005902.0,41.62,1.1581920745199998e+29,72207141.291,1482.5402334740254
149,2MASS J06244595-4521548Â [de],39.0,1.0632582979199999e+29,70777296.90900001,1416.5667330925376
150,2MASS J06411840-4322329Â [de],65.0,1.27211260644e+29,72207141.291,1628.363862996061
151,DENIS-P J0652197-253450Â [de],51.0,1.424006649e+29,75066830.055,1686.5610484742424
152,2MASS J07075327-4900503,60.0,1.36704638304e+29,73636985.673,1682.5866846122526
153,UGPS J072227.51-054031.2,13.4,4.9365563831999995e+28,70062374.71800001,671.1824580662799
154,2MASSI J0727182+171001Â [de],29.6,7.784569681199999e+28,67202685.954,1150.3964960563899
155,2MASS J07290002-3954043Â [de],25.8,7.0250994684e+28,67202685.954,1038.1626915630836
156,SDSS J074201.41+205520.5Â [de],49.0,8.1643047876e+28,67202685.954,1206.513398303043
157,DENIS-P J0751164-253043Â [de],55.0,1.3480596277199998e+29,73636985.673,1659.2174251037488
158,2MASS J07522390+1612157,60.0,3.816338058e+27,4861470898.8,0.010776994467105179
159,DENIS J081730.0-615520,16.1,8.3541723408e+28,67202685.954,1234.5718494263697
160,2MASS J08251968+2115521Â [de],35.0,9.873112766399999e+28,70062374.71800001,1342.3649161325598
161,SDSSp J083008.12+482847.4Â [de],43.0,9.1136425536e+28,70777296.90900001,1214.200056936461
162,LHS 2021,55.0,1.67083446816e+29,82216051.965,1649.7053854867902
163,SDSS J083048.80+012831.1Â [de],77.0,8.733907447199999e+28,68632530.336,1237.4702484573381
164,2MASSI J0835425-081923Â [de],23.53,1.17717882984e+29,71492219.1,1537.131739579425
165,2MASSI J0847287-153237Â [de],43.0,1.21515234048e+29,71492219.1,1586.7166344045677
166,2MASS J08533619-0329321,27.6,1.4619801596399999e+29,76496674.437,1667.410647888894
167,2MASSI J0859254-194926Â [de],50.0,9.49337766e+28,70062374.71800001,1290.7354962813079
168,2MASSI J0937347+293142,20.0,7.9744372344e+28,67202685.954,1178.4549471797168
169,2MASS 0939âˆ’2448,17.4,6.0757617024e+28,67917608.145,879.0673874817548
170,2MASS J09490860-1545485Â [de],59.0,9.3035101068e+28,68632530.336,1318.174829878469
171,2MASS J10073369-4555147,46.0,8.3541723408e+28,67202685.954,1234.5718494263697
172,2MASSI J1010148-040649Â [de],55.0,9.6832452132e+28,70062374.71800001,1316.5502062069338
174,2MASSW J1036530-344138Â [de],53.0,9.3035101068e+28,69347452.527,1291.1360646359838
175,2MASS J1047538+212423Â [de],34.4,7.9744372344e+28,67202685.954,1178.4549471797168
176,DEN 1048-3956,13.15,1.4619801596399999e+29,76496674.437,1667.410647888894
177,Luhman 16B,6.516,8.1643047876e+28,72922063.482,1024.6782379282668
178,Luhman 16A,6.516,7.594702128e+28,72207141.291,972.157530146902
179,DENIS-P J1058.7âˆ’1548,49.0,1.21515234048e+29,71492219.1,1586.7166344045677
182,SDSS J111010.01+011613.1,63.0,1.7088079788e+28,88650351.684,145.11708292998327
183,2MASS J11145133âˆ’2618235,18.2,6.265629255599999e+28,68632530.336,887.7503956324381
186,2MASSW J1155395-372735Â [de],31.0,1.21515234048e+29,71492219.1,1586.7166344045677
188,2MASSI J1217110-031113Â [de],36.0,7.9744372344e+28,67202685.954,1178.4549471797168
189,2M 1237+6526,45.6,7.784569681199999e+28,67202685.954,1150.3964960563899
191,SDSSp J125453.90-012247.4Â [de],38.0,8.923775000399998e+28,70062374.71800001,1213.291366504429
192,Kelu-1A,61.0,1.19616558516e+29,70062374.71800001,1626.3267253144477
193,Kelu-1B,61.0,1.10123180856e+29,70062374.71800001,1497.253175686317
195,SDSSp J132629.82-003831.5Â [de],65.0,9.6832452132e+28,69347452.527,1343.8354958456157
196,SDSSp J134646.45-003150.4Â [de],48.0,8.3541723408e+28,67202685.954,1234.5718494263697
197,2MASS J13595510-4034582,51.0,1.19616558516e+29,71492219.1,1561.9241869919963
198,ULAS J141623.94+134836.3,29.7,6.0757617024e+28,68632530.336,860.8488684920613
201,LHS 2924,38.5,1.44299340432e+29,75781752.246,1676.9544351685863
202,2MASS J14392837+1929150,47.0,1.36704638304e+29,73636985.673,1682.5866846122526
203,LSPM J1440+1339,72.0,1.7467814894399998e+29,85075740.729,1610.6949805497954
204,2MASS J14482563+1031590Â [de],47.0,1.12021856388e+29,70777296.90900001,1492.4542366510664
207,TVLM 513-46546,35.1,1.424006649e+29,75066830.055,1686.5610484742424
208,2MASS 1503+2525,20.7,8.3541723408e+28,67202685.954,1234.5718494263697
209,CFBDS J150411+102717,71.0,8.3541723408e+28,67202685.954,1234.5718494263697
210,2MASSW J1506544+132106Â [de],46.0,1.3100861170799998e+29,72922063.482,1644.2511259779164
211,2MASS 1507âˆ’1627,23.9,1.1392053192e+29,70777296.90900001,1517.750071170576
212,TVLM 868-110639,53.0,1.49995367028e+29,77211596.628,1679.1866817499465
213,2MASSW J1515008+484742Â [de],34.0,1.0822450532399998e+29,70777296.90900001,1441.862567612047
214,2MASSI J1526140+204341Â [de],67.0,1.02528478728e+29,70062374.71800001,1393.9943359838123
215,DENIS-P J153941.96-052042.4Â [de],51.0,1.19616558516e+29,71492219.1,1561.9241869919963
216,2MASS J15462718-3325111Â [de],37.0,8.3541723408e+28,67202685.954,1234.5718494263697
217,2MASSW J1552591+294849Â [de],68.0,5.696026596e+28,102233873.31300001,363.7211709018244
218,2MASSW J1555157-095605Â [de],44.0,1.3480596277199998e+29,73636985.673,1659.2174251037488
219,2MASS J16150413+1340079Â [de],48.0,7.9744372344e+28,67202685.954,1178.4549471797168
220,SDSSp J162414.37+002915.6Â [de],36.0,8.1643047876e+28,67202685.954,1206.513398303043
222,2MASSW J1632291+190441Â [de],50.0,9.3035101068e+28,69347452.527,1291.1360646359838
223,WISEPA J164715.59+563208.2,28.0,7.784569681199999e+28,67202685.954,1150.3964960563899
224,LSPM J1658+7027Â [de],60.0,1.3860331383600002e+29,74351907.864,1673.3068242582378
226,SDSSp J175032.96+175903.9,90.0,8.923775000399998e+28,69347452.527,1238.4366334263516
227,2MASS J18283572-4849046,39.0,8.544039894e+28,67917608.145,1236.1885136462176
228,LSR J1835+3259,18.5,1.4619801596399999e+29,76496674.437,1667.410647888894
230,2MASS J18432213+4040209,46.0,1.82272851072e+29,87220507.302,1599.082875306941
232,SDSS J204749.61-071818.3,65.0,8.733907447199999e+28,68632530.336,1237.4702484573381
233,2MASSI J2057540-025230,47.0,1.3290728724000001e+29,72922063.482,1668.0808524413649
234,2MASSI J2104149-103736,62.0,1.3100861170799998e+29,72922063.482,1644.2511259779164
235,PSO J318.5âˆ’22,80.0,1.2341390957999999e+28,109383095.22299999,68.84143200551662
237,2MASS J21392676+0220226,32.1,8.733907447199999e+28,68632530.336,1237.4702484573381
238,2MASS J21481628+4003593,26.3,1.0442715426e+29,70777296.90900001,1391.270898573028
241,2MASSW J2224438-015852,38.0,1.1581920745199998e+29,70777296.90900001,1543.0459056900854
242,2MASS J22282889-4310262,35.0,7.9744372344e+28,67202685.954,1178.4549471797168
243,2MASS J22373255+3922398,64.0,1.3860331383600002e+29,74351907.864,1673.3068242582378
247,2MASS J23515044-2537367,67.0,1.67083446816e+29,82930974.156,1621.3847891693522
248,2MASSI J2356547-155310,74.0,1.5189404256e+29,77926518.81899999,1669.384557701969
249,WISE 0410+1502,20.0,1.1392053192e+28,83645896.347,108.66731278795253
250,WISE 0458+6434A,35.9,2.848013298e+28,300267320.22,21.082013105928027
251,WISE 0458+6434B,35.9,1.898675532e+28,271670432.58,17.169284911753024
252,WISE 1405+5534,25.3,5.696026596e+28,61483308.426,2.4471070969610065e-10
